feature,importance_mean,importance_std
"cat__lat_long_37.031404, -121.981865",0.0,0.0
"cat__lat_long_37.03889, -121.528955",0.0,0.0
"cat__lat_long_37.045728, -120.630682",0.0,0.0
"cat__lat_long_37.04584, -118.397236",0.0,0.0
"cat__lat_long_37.051166, -122.056194",0.0,0.0
"cat__lat_long_37.070177, -122.010077",0.0,0.0
"cat__lat_long_37.078873, -122.090386",0.0,0.0
"cat__lat_long_37.084697, -121.606417",0.0,0.0
"cat__lat_long_37.100948, -120.270136",0.0,0.0
"cat__lat_long_36.863303, -121.781632",0.0,0.0
"cat__lat_long_37.106902, -122.100006",0.0,0.0
"cat__lat_long_37.114335, -122.237162",0.0,0.0
"cat__lat_long_37.127386, -120.506422",0.0,0.0
"cat__lat_long_37.140104, -119.657092",0.0,0.0
"cat__lat_long_37.147198, -121.120161",0.0,0.0
"cat__lat_long_37.160194, -121.945611",0.0,0.0
"cat__lat_long_37.161544, -121.649371",0.0,0.0
"cat__lat_long_37.171727, -122.142961",0.0,0.0
"cat__lat_long_37.027663, -119.69056",0.0,0.0
"cat__lat_long_37.023669, -121.946461",0.0,0.0
"cat__lat_long_37.013471, -121.877877",0.0,0.0
"cat__lat_long_37.007882, -122.065975",0.0,0.0
"cat__lat_long_36.869584, -118.189241",0.0,0.0
"cat__lat_long_36.875409, -121.279679",0.0,0.0
"cat__lat_long_36.878364, -121.629781",0.0,0.0
"cat__lat_long_36.878709, -119.7645",0.0,0.0
"cat__lat_long_36.902954, -120.194274",0.0,0.0
"cat__lat_long_36.917652, -119.593757",0.0,0.0
"cat__lat_long_36.931654, -121.752383",0.0,0.0
"cat__lat_long_36.936228, -121.785559",0.0,0.0
"cat__lat_long_36.959731, -120.653519",0.0,0.0
"cat__lat_long_36.974575, -121.991149",0.0,0.0
"cat__lat_long_36.977025, -121.952864",0.0,0.0
"cat__lat_long_36.991762, -119.242874",0.0,0.0
"cat__lat_long_36.993451, -122.098858",0.0,0.0
"cat__lat_long_36.993666, -119.348267",0.0,0.0
"cat__lat_long_36.995162, -120.955099",0.0,0.0
"cat__lat_long_37.004068, -119.930027",0.0,0.0
"cat__lat_long_37.007238, -119.505661",0.0,0.0
"cat__lat_long_34.601055, -120.382917",0.0,0.0
"cat__lat_long_34.457829, -116.139589",0.0,0.0
"cat__lat_long_34.581308, -118.931948",0.0,0.0
"cat__lat_long_34.050322, -118.147037",0.0,0.0
"cat__lat_long_34.046174, -118.446333",0.0,0.0
"cat__lat_long_34.04622, -118.053753",0.0,0.0
"cat__lat_long_34.048013, -118.293953",0.0,0.0
"cat__lat_long_34.049172, -118.115022",0.0,0.0
"cat__lat_long_34.049315, -117.255974",0.0,0.0
"cat__lat_long_34.049671, -117.468896",0.0,0.0
"cat__lat_long_34.049841, -118.33846",0.0,0.0
"cat__lat_long_34.050198, -118.210946",0.0,0.0
"cat__lat_long_34.051809, -118.383843",0.0,0.0
"cat__lat_long_34.044639, -118.240413",0.0,0.0
"cat__lat_long_34.052842, -118.264495",0.0,0.0
"cat__lat_long_34.052917, -118.255178",0.0,0.0
"cat__lat_long_34.057256, -117.667677",0.0,0.0
"cat__lat_long_34.057496, -118.413959",0.0,0.0
"cat__lat_long_34.059281, -118.30742",0.0,0.0
"cat__lat_long_34.059722, -117.39104",0.0,0.0
"cat__lat_long_34.061634, -117.893169",0.0,0.0
"cat__lat_long_34.061918, -118.277939",0.0,0.0
"cat__lat_long_34.04597, -117.011825",0.0,0.0
"cat__lat_long_34.044271, -118.185237",0.0,0.0
"cat__lat_long_34.02381, -118.156582",0.0,0.0
"cat__lat_long_34.031441, -117.936436",0.0,0.0
"cat__lat_long_34.026334, -118.474222",0.0,0.0
"cat__lat_long_34.027337, -118.28515",0.0,0.0
"cat__lat_long_34.028331, -118.354338",0.0,0.0
"cat__lat_long_34.028735, -118.317236",0.0,0.0
"cat__lat_long_34.029043, -118.239504",0.0,0.0
"cat__lat_long_34.029175, -117.307211",0.0,0.0
"cat__lat_long_34.030578, -118.399613",0.0,0.0
"cat__lat_long_34.030915, -117.273201",0.0,0.0
"cat__lat_long_34.031529, -118.491156",0.0,0.0
"cat__lat_long_34.043144, -118.251977",0.0,0.0
"cat__lat_long_34.035602, -117.591528",0.0,0.0
"cat__lat_long_34.035849, -118.503508",0.0,0.0
"cat__lat_long_34.037037, -118.705803",0.0,0.0
"cat__lat_long_34.037251, -118.423573",0.0,0.0
"cat__lat_long_34.037342, -119.80079",0.0,0.0
"cat__lat_long_34.038983, -117.991372",0.0,0.0
"cat__lat_long_34.039224, -118.266293",0.0,0.0
"cat__lat_long_34.042286, -117.756106",0.0,0.0
"cat__lat_long_34.062095, -118.401508",0.0,0.0
"cat__lat_long_34.062125, -118.315709",0.0,0.0
"cat__lat_long_34.063947, -118.383001",0.0,0.0
"cat__lat_long_34.093781, -118.381061",0.0,0.0
"cat__lat_long_34.084747, -117.886844",0.0,0.0
"cat__lat_long_34.084909, -117.258107",0.0,0.0
"cat__lat_long_34.085807, -118.206617",0.0,0.0
"cat__lat_long_34.088017, -118.327168",0.0,0.0
"cat__lat_long_34.089927, -118.095645",0.0,0.0
"cat__lat_long_34.089953, -118.294824",0.0,0.0
"cat__lat_long_34.090925, -118.128164",0.0,0.0
"cat__lat_long_34.091829, -118.491244",0.0,0.0
"cat__lat_long_34.097345, -117.906736",0.0,0.0
"cat__lat_long_34.064073, -117.166158",0.0,0.0
"cat__lat_long_34.097863, -116.594561",0.0,0.0
"cat__lat_long_34.098275, -117.967399",0.0,0.0
"cat__lat_long_34.099869, -118.326843",0.0,0.0
"cat__lat_long_34.099891, -118.414338",0.0,0.0
"cat__lat_long_34.10097, -117.57882",0.0,0.0
"cat__lat_long_34.101608, -118.055848",0.0,0.0
"cat__lat_long_34.102084, -118.451629",0.0,0.0
"cat__lat_long_34.102119, -117.815532",0.0,0.0
"cat__lat_long_34.083086, -117.737997",0.0,0.0
"cat__lat_long_34.08111, -117.853935",0.0,0.0
"cat__lat_long_34.079934, -118.046695",0.0,0.0
"cat__lat_long_34.079449, -118.548306",0.0,0.0
"cat__lat_long_34.065108, -118.082791",0.0,0.0
